name,team,PositionTemp,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,URL,ImgURL
Tara McKeown,Spirit,DF,"2,340",0,1,0,0,0,0,2,0,https://fbref.com/en/players/2d8ec240/Tara-McKeown,assets/placeholder.png
Aubrey Kingsbury,Spirit,GK,"2,339",0,0,0,28,72,7,0,1,https://fbref.com/en/players/020eaa4d/Aubrey-Kingsbury,assets/placeholder.png
Hal Hershfelt,Spirit,MF,"2,076",2,0,0,0,0,0,6,0,https://fbref.com/en/players/277ae96a/Hal-Hershfelt,assets/placeholder.png
Gabrielle Carle,Spirit,DF,"2,021",0,2,0,0,0,0,2,0,https://fbref.com/en/players/77ce913d/Gabrielle-Carle,assets/placeholder.png
Anaïg Butel,Spirit,DF,"1,905",0,0,0,0,0,0,3,0,https://fbref.com/en/players/74c78fea/Anaig-Butel,assets/placeholder.png
Andi Sullivan,Spirit,MF,"1,708",2,0,0,0,0,0,2,0,https://fbref.com/en/players/7e19bccd/Andi-Sullivan,assets/placeholder.png
Trinity Rodman,Spirit,"FW,MF","1,761",8,6,0,0,0,0,4,0,https://fbref.com/en/players/74911ec6/Trinity-Rodman,assets/placeholder.png
Casey Krueger,Spirit,DF,"1,678",1,3,0,0,0,0,1,0,https://fbref.com/en/players/ed06502e/Casey-Krueger,assets/placeholder.png
Ouleymata Sarr,Spirit,FW,"1,328",8,2,0,0,0,0,1,0,https://fbref.com/en/players/57ed42de/Ouleymata-Sarr,assets/placeholder.png
Ashley Hatch,Spirit,FW,"1,403",7,3,0,0,0,0,0,0,https://fbref.com/en/players/d2de2f84/Ashley-Hatch,assets/placeholder.png
Croix Bethune,Spirit,"MF,FW","1,381",5,10,0,0,0,0,1,0,https://fbref.com/en/players/aa0f9aa7/Croix-Bethune,assets/placeholder.png
Paige Metayer,Spirit,"DF,MF","1,044",1,1,0,0,0,0,2,0,https://fbref.com/en/players/9fef2983/Paige-Metayer,assets/placeholder.png
Courtney Brown,Spirit,"FW,MF",947,1,0,0,0,0,0,0,0,https://fbref.com/en/players/9982f5c6/Courtney-Brown,assets/placeholder.png
Rosemonde Kouassi,Spirit,FW,552,0,2,0,0,0,0,1,1,https://fbref.com/en/players/1233544d/Rosemonde-Kouassi,assets/placeholder.png
Leicy Santos,Spirit,MF,530,2,1,0,0,0,0,1,0,https://fbref.com/en/players/36e74d61/Leicy-Santos,assets/placeholder.png
Kate Wiesner,Spirit,"DF,FW",518,1,0,0,0,0,0,2,0,https://fbref.com/en/players/7dc25da9/Kate-Wiesner,assets/placeholder.png
Esme Morgan,Spirit,DF,448,0,0,0,0,0,0,1,0,https://fbref.com/en/players/ecacba26/Esme-Morgan,assets/placeholder.png
Makenna Morris,Spirit,"FW,MF",536,5,2,0,0,0,0,0,0,https://fbref.com/en/players/4059a68f/Makenna-Morris,assets/placeholder.png
Heather Stainbrook,Spirit,MF,442,1,0,0,0,0,0,2,0,https://fbref.com/en/players/c95d751e/Heather-Stainbrook,assets/placeholder.png
Brittany Ratcliffe,Spirit,"FW,MF",515,3,0,0,0,0,0,1,0,https://fbref.com/en/players/34603a7a/Brittany-Ratcliffe,assets/placeholder.png
Lena Silano,Spirit,"FW,MF",152,2,0,0,0,0,0,0,1,https://fbref.com/en/players/6de9ccc5/Lena-Silano,assets/placeholder.png
Anna Heilferty,Spirit,DF,71,0,0,0,0,0,0,0,0,https://fbref.com/en/players/b7dd09b9/Anna-Heilferty,assets/placeholder.png
Chloe Ricketts,Spirit,"MF,FW",20,0,0,0,0,0,0,0,0,https://fbref.com/en/players/32b99c02/Chloe-Ricketts,assets/placeholder.png
Lyza Bosselmann,Spirit,GK,1,0,0,0,0,0,0,0,0,https://fbref.com/en/players/be9f7437/Lyza-Bosselmann,assets/placeholder.png
Jenna Butler,Spirit,MF,1,0,0,0,0,0,0,0,0,https://fbref.com/en/players/573ec839/Jenna-Butler,assets/placeholder.png
Nicole Barnhart,Spirit,GK,,,,0,0,0,0,,,https://fbref.com/en/players/ad0f455b/Nicole-Barnhart,assets/placeholder.png
Kaylie Collins,Spirit,GK,,,,0,0,0,0,,,https://fbref.com/en/players/8061069c/Kaylie-Collins,assets/placeholder.png
Riley Tanner,Spirit,FW,,,,0,0,0,0,,,https://fbref.com/en/players/9a320585/Riley-Tanner,assets/placeholder.png
Anna Moorhouse,Pride,GK,"2,250",0,0,0,20,84,12,0,0,https://fbref.com/en/players/271c5edc/Anna-Moorhouse,assets/placeholder.png
Kerry Abello,Pride,DF,"2,036",1,2,0,0,0,0,2,0,https://fbref.com/en/players/45419c74/Kerry-Abello,assets/placeholder.png
Emily Sams,Pride,DF,"2,096",1,2,0,0,0,0,2,0,https://fbref.com/en/players/714e5fef/Emily-Sams,assets/placeholder.png
Kylie Strom,Pride,DF,"2,068",0,0,0,0,0,0,4,1,https://fbref.com/en/players/7f140cb9/Kylie-Strom,assets/placeholder.png
Barbra Banda,Pride,FW,"1,659",13,6,0,0,0,0,0,0,https://fbref.com/en/players/7824185a/Barbra-Banda,assets/placeholder.png
Julie Doyle,Pride,"MF,FW","1,339",2,1,0,0,0,0,2,0,https://fbref.com/en/players/020fa352/Julie-Doyle,assets/placeholder.png
Marta,Pride,"FW,MF","1,644",9,1,0,0,0,0,4,0,https://fbref.com/en/players/3857e361/Marta,assets/placeholder.png
Adriana,Pride,"FW,MF","1,591",4,1,0,0,0,0,0,0,https://fbref.com/en/players/1c9111b9/Adriana,assets/placeholder.png
Haley Hanson,Pride,MF,"1,608",0,0,0,0,0,0,2,0,https://fbref.com/en/players/45cf25bf/Haley-Hanson,assets/placeholder.png
Summer Yates,Pride,"MF,FW","1,263",5,1,0,0,0,0,0,0,https://fbref.com/en/players/4f994efc/Summer-Yates,assets/placeholder.png
Angelina,Pride,"MF,FW","1,410",2,2,0,0,0,0,1,0,https://fbref.com/en/players/49d6d4a8/Angelina,assets/placeholder.png
Morgan Gautrat,Pride,MF,833,0,0,0,0,0,0,3,0,https://fbref.com/en/players/f44c4259/Morgan-Gautrat,assets/placeholder.png
Cori Dyke,Pride,"DF,MF","1,010",0,1,0,0,0,0,0,0,https://fbref.com/en/players/ace997a7/Cori-Dyke,assets/placeholder.png
Ally Watt,Pride,"FW,MF",879,3,1,0,0,0,0,1,0,https://fbref.com/en/players/56d5fb23/Ally-Watt,assets/placeholder.png
Brianna Martinez,Pride,DF,698,0,0,0,0,0,0,3,1,https://fbref.com/en/players/9be20864/Brianna-Martinez,assets/placeholder.png
Rafaelle,Pride,DF,621,0,0,0,0,0,0,1,0,https://fbref.com/en/players/d1a10776/Rafaelle,assets/placeholder.png
Carson Pickett,Pride,"DF,FW",373,1,1,0,0,0,0,1,0,https://fbref.com/en/players/61531e4e/Carson-Pickett,assets/placeholder.png
Carrie Lawrence,Pride,"DF,MF",288,0,1,0,0,0,0,3,1,https://fbref.com/en/players/eb1483ab/Carrie-Lawrence,assets/placeholder.png
Ally Lemos,Pride,MF,346,0,0,0,0,0,0,1,0,https://fbref.com/en/players/7bbb977b/Ally-Lemos,assets/placeholder.png
Luana,Pride,"MF,DF",189,0,0,0,0,0,0,2,0,https://fbref.com/en/players/55455231/Luana,assets/placeholder.png
Evelina Duljan,Pride,"FW,MF",179,0,0,0,0,0,0,0,0,https://fbref.com/en/players/0b96a829/Evelina-Duljan,assets/placeholder.png
Celia Jiménez,Pride,DF,74,0,0,0,0,0,0,0,0,https://fbref.com/en/players/221e8e04/Celia-Jimenez,assets/placeholder.png
Viviana Villacorta,Pride,"MF,DF",71,0,0,0,0,0,0,0,0,https://fbref.com/en/players/05c99b84/Viviana-Villacorta,assets/placeholder.png
Amanda Allen,Pride,"DF,MF",87,0,1,0,0,0,0,1,0,https://fbref.com/en/players/848a4e7e/Amanda-Allen,assets/placeholder.png
Mariana Larroquette,Pride,"FW,MF",52,0,0,0,0,0,0,0,0,https://fbref.com/en/players/09411c68/Mariana-Larroquette,assets/placeholder.png
Alex Kerr,Pride,FW,7,0,0,0,0,0,0,0,0,https://fbref.com/en/players/54222fb1/Alex-Kerr,assets/placeholder.png
McKinley Crone,Pride,GK,,,,0,0,0,0,,,https://fbref.com/en/players/1eb67c0e/McKinley-Crone,assets/placeholder.png
Emily Sonnett,Gotham,"DF,MF","2,081",0,1,0,0,0,0,4,0,https://fbref.com/en/players/08acd418/Emily-Sonnett,assets/placeholder.png
Delanie Sheehan,Gotham,MF,"2,008",2,1,0,0,0,0,3,0,https://fbref.com/en/players/ef032510/Delanie-Sheehan,assets/placeholder.png
Jenna Nighswonger,Gotham,DF,"1,919",1,3,0,0,0,0,4,0,https://fbref.com/en/players/3d0e9d13/Jenna-Nighswonger,assets/placeholder.png
Yazmeen Ryan,Gotham,"MF,FW","1,849",5,5,0,0,0,0,4,1,https://fbref.com/en/players/22502cce/Yazmeen-Ryan,assets/placeholder.png
Ann-Katrin Berger,Gotham,GK,"1,890",0,0,0,14,59,8,0,0,https://fbref.com/en/players/be9f3298/Ann-Katrin-Berger,assets/placeholder.png
Nealy Martin,Gotham,MF,"1,866",0,0,0,0,0,0,7,0,https://fbref.com/en/players/b26a8c1f/Nealy-Martin,assets/placeholder.png
Esther González,Gotham,"FW,MF","1,533",9,4,0,0,0,0,1,0,https://fbref.com/en/players/8f146dff/Esther-Gonzalez,assets/placeholder.png
Tierna Davidson,Gotham,DF,"1,327",0,0,0,0,0,0,0,0,https://fbref.com/en/players/543614ff/Tierna-Davidson,assets/placeholder.png
Rose Lavelle,Gotham,"MF,FW","1,323",7,1,0,0,0,0,1,0,https://fbref.com/en/players/dcd6a67e/Rose-Lavelle,assets/placeholder.png
Ella Stevens,Gotham,"FW,MF","1,098",7,4,0,0,0,0,1,0,https://fbref.com/en/players/268a4e22/Ella-Stevens,assets/placeholder.png
Samantha Hiatt,Gotham,DF,"1,114",1,0,0,0,0,0,2,0,https://fbref.com/en/players/eb036ce5/Samantha-Hiatt,assets/placeholder.png
Crystal Dunn,Gotham,"FW,MF",994,1,2,0,0,0,0,2,0,https://fbref.com/en/players/a20c6459/Crystal-Dunn,assets/placeholder.png
Lynn Williams,Gotham,"FW,MF",919,4,2,0,0,0,0,1,0,https://fbref.com/en/players/0ac84745/Lynn-Williams,assets/placeholder.png
Jess Carter,Gotham,DF,759,0,0,0,0,0,0,1,0,https://fbref.com/en/players/bb5e99fc/Jess-Carter,assets/placeholder.png
Bruninha,Gotham,DF,838,0,2,0,0,0,0,2,0,https://fbref.com/en/players/f790716d/Bruninha,assets/placeholder.png
Katie Stengel,Gotham,"FW,MF",802,0,1,1,0,0,0,2,0,https://fbref.com/en/players/78078a19/Katie-Stengel,assets/placeholder.png
Mandy Freeman,Gotham,DF,751,1,2,0,0,0,0,3,0,https://fbref.com/en/players/ee5355a7/Mandy-Freeman,assets/placeholder.png
Maitane López Millán,Gotham,"MF,DF",414,0,0,0,0,0,0,3,0,https://fbref.com/en/players/3ca55cb5/Maitane-Lopez-Millan,assets/placeholder.png
Cassie Miller,Gotham,GK,360,0,0,0,4,12,1,0,0,https://fbref.com/en/players/6946f9d4/Cassie-Miller,assets/placeholder.png
Maycee Bell,Gotham,DF,292,1,0,0,0,0,0,0,0,https://fbref.com/en/players/4b32b951/Maycee-Bell,assets/placeholder.png
Taryn Torres,Gotham,"DF,MF",163,0,0,0,0,0,0,1,0,https://fbref.com/en/players/711932d7/Taryn-Torres,assets/placeholder.png
Kelley O'Hara,Gotham,DF,81,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5ebefe20/Kelley-OHara,assets/placeholder.png
Margaret Purce,Gotham,FW,44,0,0,0,0,0,0,1,0,https://fbref.com/en/players/c94c70bc/Margaret-Purce,assets/placeholder.png
McCall Zerboni,Gotham,"MF,FW",168,0,0,0,0,0,0,0,0,https://fbref.com/en/players/19ade833/McCall-Zerboni,assets/placeholder.png
Cecelia Kizer,Gotham,"MF,FW",65,1,0,0,0,0,0,0,0,https://fbref.com/en/players/8e2a7ac1/Cecelia-Kizer,assets/placeholder.png
Jéssica Silva,Gotham,"FW,MF",44,0,1,0,0,0,0,1,0,https://fbref.com/en/players/cd6a0894/Jessica-Silva,assets/placeholder.png
Sinead Farrelly,Gotham,MF,2,0,0,0,0,0,0,0,0,https://fbref.com/en/players/34e16d35/Sinead-Farrelly,assets/placeholder.png
Michelle Betos,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/9e11e21d/Michelle-Betos,assets/placeholder.png
Kristen Edmonds,Gotham,"DF,MF",,,,0,0,0,0,,,https://fbref.com/en/players/1e3c5371/Kristen-Edmonds,assets/placeholder.png
Erin McKinney,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/5cc1a827/Erin-McKinney,assets/placeholder.png
Abby Smith,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/947d22fb/Abby-Smith,assets/placeholder.png
